time,shannon_entropy
11000.037099999998,0.8281457023821833
11001.369167867033,-999.0
11002.70123573407,0.7712591251166001
11004.033303601105,0.8680238075238697
11005.365371468142,-999.0
11006.697439335177,0.7662522055299683
11008.029507202215,0.8191084777190277
11009.36157506925,-999.0
11010.693642936287,0.7491047502616351
11012.025710803322,-999.0
11013.357778670359,0.8368665250490676
11014.689846537394,0.7902915665533903
11016.02191440443,-999.0
11017.353982271467,0.825203728654597
11018.686050138502,-999.0
11020.018118005539,0.7701574618278418
11021.350185872574,0.8526262950910019
11022.682253739611,0.8526262950910019
11024.014321606646,0.843532789676461
11025.346389473683,0.7896269371198233
11026.678457340719,-999.0
11028.010525207756,-999.0
11029.34259307479,0.842088781560647
11030.674660941826,0.8929668038859511
11032.006728808863,0.8281594517971211
11033.338796675898,0.8140883615315542
11034.670864542935,-999.0
11036.00293240997,0.7999529367011748
11037.335000277008,-999.0
11038.667068144043,-999.0
11039.99913601108,0.8376510788530038
11041.331203878115,-999.0
11042.663271745152,0.8695240595319642
11043.995339612187,0.8570128666446614
11045.327407479223,0.8578382998746179
11046.65947534626,0.8448366104198245
11047.991543213295,-999.0
11049.323611080332,0.8133670535724914
11050.655678947367,0.8259772805138514
11051.987746814404,0.8259772805138514
11053.31981468144,0.8424248364916417
11054.651882548476,0.8427572263205299
11055.983950415512,0.8436572963658144
11057.316018282549,0.7687783335215295
11058.648086149584,-999.0
11059.980154016619,-999.0
11061.312221883656,0.7841722981994398
11062.644289750691,0.8252155403208343
11063.976357617728,0.8279932335362161
11065.308425484764,-999.0
11066.6404933518,-999.0
11067.972561218836,0.8061112545283686
11069.304629085873,0.831807172650688
11070.636696952908,0.8359844179849897
11071.968764819945,0.8224874746144517
11073.30083268698,0.7801738416683405
11074.632900554016,0.7981319070243013
11075.964968421053,0.7730652499200397
11077.297036288088,0.7615748074025901
11078.629104155125,0.7615748074025901
11079.96117202216,-999.0
11081.293239889197,0.8265306584235748
11082.625307756232,-999.0
11083.95737562327,0.8326416450364801
11085.289443490305,0.8837690176095901
11086.621511357342,0.8135726916439915
11087.953579224377,0.837246815590025
11089.285647091412,-999.0
11090.61771495845,0.8603454447474732
11091.949782825484,0.8243548948843612
11093.281850692521,0.7608608444769923
11094.613918559557,0.827587608929973
11095.945986426594,0.8939686474777775
